,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021600003,19,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,130,257,1,0,20161025,GSW,SAS
1,Shot Chart Detail,0021600003,28,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,6,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,189,174,1,1,20161025,GSW,SAS
2,Shot Chart Detail,0021600003,88,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,159,229,1,0,20161025,GSW,SAS
3,Shot Chart Detail,0021600003,91,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,163,141,1,0,20161025,GSW,SAS
4,Shot Chart Detail,0021600003,184,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-9,267,1,1,20161025,GSW,SAS
5,Shot Chart Detail,0021600003,206,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,58,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-16,70,1,1,20161025,GSW,SAS
6,Shot Chart Detail,0021600003,218,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,1,20161025,GSW,SAS
7,Shot Chart Detail,0021600003,223,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,17,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,114,247,1,1,20161025,GSW,SAS
8,Shot Chart Detail,0021600003,227,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,130,252,1,0,20161025,GSW,SAS
9,Shot Chart Detail,0021600003,289,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,31,-169,262,1,0,20161025,GSW,SAS
10,Shot Chart Detail,0021600003,324,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,-73,288,1,0,20161025,GSW,SAS
11,Shot Chart Detail,0021600003,330,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,34,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,0,20161025,GSW,SAS
12,Shot Chart Detail,0021600003,343,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,6,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,36,1,0,20161025,GSW,SAS
13,Shot Chart Detail,0021600003,355,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,35,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,8,5,1,1,20161025,GSW,SAS
14,Shot Chart Detail,0021600003,378,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,13,1,1,20161025,GSW,SAS
15,Shot Chart Detail,0021600003,386,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-214,56,1,1,20161025,GSW,SAS
16,Shot Chart Detail,0021600003,472,201939,Stephen Curry,1610612744,Golden State Warriors,4,6,46,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,41,1,1,20161025,GSW,SAS
17,Shot Chart Detail,0021600003,474,201939,Stephen Curry,1610612744,Golden State Warriors,4,6,11,Missed Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,26,1,0,20161025,GSW,SAS
18,Shot Chart Detail,0021600025,10,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-107,228,1,1,20161028,NOP,GSW
19,Shot Chart Detail,0021600025,22,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,16,1,0,20161028,NOP,GSW
20,Shot Chart Detail,0021600025,34,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-156,203,1,0,20161028,NOP,GSW
21,Shot Chart Detail,0021600025,78,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,19,247,1,0,20161028,NOP,GSW
22,Shot Chart Detail,0021600025,218,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,105,242,1,1,20161028,NOP,GSW
23,Shot Chart Detail,0021600025,320,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-171,90,1,0,20161028,NOP,GSW
24,Shot Chart Detail,0021600025,328,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,14,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,26,1,1,20161028,NOP,GSW
25,Shot Chart Detail,0021600025,330,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,55,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,0,20161028,NOP,GSW
26,Shot Chart Detail,0021600025,368,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-178,200,1,0,20161028,NOP,GSW
27,Shot Chart Detail,0021600025,379,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,57,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-1,1,1,20161028,NOP,GSW
28,Shot Chart Detail,0021600025,398,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,12,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,1,20161028,NOP,GSW
29,Shot Chart Detail,0021600025,434,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-138,262,1,1,20161028,NOP,GSW
30,Shot Chart Detail,0021600025,437,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,31,64,306,1,0,20161028,NOP,GSW
31,Shot Chart Detail,0021600025,510,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-6,205,1,1,20161028,NOP,GSW
32,Shot Chart Detail,0021600025,515,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,8,1,0,20161028,NOP,GSW
33,Shot Chart Detail,0021600025,518,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,135,218,1,0,20161028,NOP,GSW
34,Shot Chart Detail,0021600025,528,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,7,1,0,20161028,NOP,GSW
35,Shot Chart Detail,0021600025,565,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,8,1,1,20161028,NOP,GSW
36,Shot Chart Detail,0021600025,576,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-55,257,1,0,20161028,NOP,GSW
37,Shot Chart Detail,0021600036,9,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-169,61,1,1,20161030,PHX,GSW
38,Shot Chart Detail,0021600036,19,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,1,252,1,1,20161030,PHX,GSW
39,Shot Chart Detail,0021600036,31,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,55,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,58,47,1,1,20161030,PHX,GSW
40,Shot Chart Detail,0021600036,35,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-147,214,1,1,20161030,PHX,GSW
41,Shot Chart Detail,0021600036,80,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,2,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,7,1,0,20161030,PHX,GSW
42,Shot Chart Detail,0021600036,89,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,26,Missed Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-1,1,0,20161030,PHX,GSW
43,Shot Chart Detail,0021600036,199,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,235,120,1,1,20161030,PHX,GSW
44,Shot Chart Detail,0021600036,212,201939,Stephen Curry,1610612744,Golden State Warriors,2,5,16,Missed Shot,Step Back Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-129,43,1,0,20161030,PHX,GSW
45,Shot Chart Detail,0021600036,261,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,46,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-35,36,1,1,20161030,PHX,GSW
46,Shot Chart Detail,0021600036,350,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,29,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-91,252,1,1,20161030,PHX,GSW
47,Shot Chart Detail,0021600036,444,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,7,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,151,232,1,0,20161030,PHX,GSW
48,Shot Chart Detail,0021600036,473,201939,Stephen Curry,1610612744,Golden State Warriors,4,10,0,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-16,72,1,0,20161030,PHX,GSW
49,Shot Chart Detail,0021600036,476,201939,Stephen Curry,1610612744,Golden State Warriors,4,9,51,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,18,1,0,20161030,PHX,GSW
50,Shot Chart Detail,0021600036,530,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-56,185,1,1,20161030,PHX,GSW
51,Shot Chart Detail,0021600036,533,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-21,1,0,20161030,PHX,GSW
52,Shot Chart Detail,0021600036,587,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,25,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-169,21,1,0,20161030,PHX,GSW
53,Shot Chart Detail,0021600054,19,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,51,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,3,1,0,20161101,POR,GSW
54,Shot Chart Detail,0021600054,28,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-99,252,1,0,20161101,POR,GSW
55,Shot Chart Detail,0021600054,45,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,45,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,51,134,1,0,20161101,POR,GSW
56,Shot Chart Detail,0021600054,202,201939,Stephen Curry,1610612744,Golden State Warriors,2,5,8,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,2,1,1,20161101,POR,GSW
57,Shot Chart Detail,0021600054,233,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,3,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,3,1,1,20161101,POR,GSW
58,Shot Chart Detail,0021600054,235,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,82,264,1,0,20161101,POR,GSW
59,Shot Chart Detail,0021600054,256,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,23,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-125,174,1,0,20161101,POR,GSW
60,Shot Chart Detail,0021600054,279,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,1,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-53,149,1,0,20161101,POR,GSW
61,Shot Chart Detail,0021600054,282,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Back Court(BC),Back Court Shot,40,6,404,1,0,20161101,POR,GSW
62,Shot Chart Detail,0021600054,303,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,30,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-210,203,1,1,20161101,POR,GSW
63,Shot Chart Detail,0021600054,309,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,81,232,1,1,20161101,POR,GSW
64,Shot Chart Detail,0021600054,315,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,23,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,1,20161101,POR,GSW
65,Shot Chart Detail,0021600054,323,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,28,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-2,288,1,1,20161101,POR,GSW
66,Shot Chart Detail,0021600054,333,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,41,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,64,252,1,0,20161101,POR,GSW
67,Shot Chart Detail,0021600054,337,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,19,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,66,13,1,0,20161101,POR,GSW
68,Shot Chart Detail,0021600054,376,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,22,Made Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,11,1,1,20161101,POR,GSW
69,Shot Chart Detail,0021600054,389,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,30,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,2,1,0,20161101,POR,GSW
70,Shot Chart Detail,0021600054,398,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,30,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,7,1,1,20161101,POR,GSW
71,Shot Chart Detail,0021600054,405,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,11,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,102,198,1,0,20161101,POR,GSW
72,Shot Chart Detail,0021600054,412,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,52,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,1,20161101,POR,GSW
73,Shot Chart Detail,0021600054,418,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,104,229,1,1,20161101,POR,GSW
74,Shot Chart Detail,0021600069,18,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,54,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,11,1,1,20161103,GSW,OKC
75,Shot Chart Detail,0021600069,24,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,59,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,16,1,1,20161103,GSW,OKC
76,Shot Chart Detail,0021600069,26,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,151,200,1,0,20161103,GSW,OKC
77,Shot Chart Detail,0021600069,55,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-227,126,1,0,20161103,GSW,OKC
78,Shot Chart Detail,0021600069,64,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,1,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-34,82,1,0,20161103,GSW,OKC
79,Shot Chart Detail,0021600069,81,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,16,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,26,1,0,20161103,GSW,OKC
80,Shot Chart Detail,0021600069,200,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,82,244,1,0,20161103,GSW,OKC
81,Shot Chart Detail,0021600069,217,201939,Stephen Curry,1610612744,Golden State Warriors,2,5,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,21,1,0,20161103,GSW,OKC
82,Shot Chart Detail,0021600069,276,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,29,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,32,178,1,1,20161103,GSW,OKC
83,Shot Chart Detail,0021600069,362,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,1,Made Shot,Fadeaway Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,218,144,1,1,20161103,GSW,OKC
84,Shot Chart Detail,0021600069,365,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,29,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-34,36,1,0,20161103,GSW,OKC
85,Shot Chart Detail,0021600069,379,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,23,Made Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,26,1,1,20161103,GSW,OKC
86,Shot Chart Detail,0021600069,387,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,58,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,1,20161103,GSW,OKC
87,Shot Chart Detail,0021600069,389,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,31,-7,313,1,0,20161103,GSW,OKC
88,Shot Chart Detail,0021600078,7,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-196,168,1,0,20161104,LAL,GSW
89,Shot Chart Detail,0021600078,9,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-232,114,1,0,20161104,LAL,GSW
90,Shot Chart Detail,0021600078,29,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20161104,LAL,GSW
91,Shot Chart Detail,0021600078,36,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-227,60,1,0,20161104,LAL,GSW
92,Shot Chart Detail,0021600078,45,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,1,1,1,20161104,LAL,GSW
93,Shot Chart Detail,0021600078,83,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-202,41,1,0,20161104,LAL,GSW
94,Shot Chart Detail,0021600078,91,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,44,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-160,140,1,1,20161104,LAL,GSW
95,Shot Chart Detail,0021600078,177,201939,Stephen Curry,1610612744,Golden State Warriors,2,8,42,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-246,-6,1,0,20161104,LAL,GSW
96,Shot Chart Detail,0021600078,209,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-116,223,1,0,20161104,LAL,GSW
97,Shot Chart Detail,0021600078,230,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,9,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,1,1,1,20161104,LAL,GSW
98,Shot Chart Detail,0021600078,238,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-170,194,1,0,20161104,LAL,GSW
99,Shot Chart Detail,0021600078,275,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,0,1,0,20161104,LAL,GSW
100,Shot Chart Detail,0021600078,311,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-85,243,1,0,20161104,LAL,GSW
101,Shot Chart Detail,0021600078,356,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-245,94,1,0,20161104,LAL,GSW
102,Shot Chart Detail,0021600078,482,201939,Stephen Curry,1610612744,Golden State Warriors,4,7,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,37,238,1,0,20161104,LAL,GSW
103,Shot Chart Detail,0021600078,496,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,3,1,1,20161104,LAL,GSW
104,Shot Chart Detail,0021600078,501,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-122,223,1,0,20161104,LAL,GSW
105,Shot Chart Detail,0021600099,18,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,4,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20161107,GSW,NOP
106,Shot Chart Detail,0021600099,47,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-196,228,1,1,20161107,GSW,NOP
107,Shot Chart Detail,0021600099,53,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-53,272,1,0,20161107,GSW,NOP
108,Shot Chart Detail,0021600099,82,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,32,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-184,203,1,1,20161107,GSW,NOP
109,Shot Chart Detail,0021600099,91,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,35,Made Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,31,1,1,20161107,GSW,NOP
110,Shot Chart Detail,0021600099,109,201939,Stephen Curry,1610612744,Golden State Warriors,1,1,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,-163,164,1,0,20161107,GSW,NOP
111,Shot Chart Detail,0021600099,196,201939,Stephen Curry,1610612744,Golden State Warriors,2,5,5,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-201,165,1,1,20161107,GSW,NOP
112,Shot Chart Detail,0021600099,202,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,20,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-207,183,1,1,20161107,GSW,NOP
113,Shot Chart Detail,0021600099,209,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,54,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-16,259,1,1,20161107,GSW,NOP
